idx chrg_Mg chrg_O p_MgMg_a p_MgMg_c p_MgMg_rho p_OO_a p_OO_c p_OO_rho p_MgO_a p_MgO_c p_MgO_rho 
23 2.1431842811181254 -2.1431842811181254 0.0 0.0 0.5 31118.161011828593 98.92303216437425 0.2255879712305835 1407.3502794829935 0.0 0.2908335009217123 
24 1.9803901505922186 -1.9803901505922186 0.0 0.0 0.5 24135.26879106555 72.95331684684756 0.22287179606973775 1480.0062892885421 0.0 0.2892030575319123 
25 2.275873174445861 -2.275873174445861 0.0 0.0 0.5 17725.964928776826 116.54388902778172 0.23389768208070033 1440.3214762544058 0.0 0.2916191505823468 
26 2.346078747429626 -2.346078747429626 0.0 0.0 0.5 37311.00446819592 69.36420050625809 0.20050064463137604 1500.1323840254631 0.0 0.2885414648597679 
27 1.7166125400593093 -1.7166125400593093 0.0 0.0 0.5 24790.893958760855 98.92798370272122 0.23379583684715466 1522.2938017788251 0.0 0.2856598332564509 
28 1.659236046822411 -1.659236046822411 0.0 0.0 0.5 16143.000377164242 114.93253466680375 0.2306540668040072 1525.781929537204 0.0 0.28901714529888295 
29 1.52917776631816 -1.52917776631816 0.0 0.0 0.5 49128.526007351786 117.4957484041231 0.21092333961367105 1317.9100529760549 0.0 0.2959583083870967 
30 2.060397785855452 -2.060397785855452 0.0 0.0 0.5 22365.593876439503 88.24496155253887 0.21671687581786012 1493.323730552853 0.0 0.2901791725379018 
31 2.2302356247902337 -2.2302356247902337 0.0 0.0 0.5 19878.70372808375 99.01372758837176 0.2331586796670767 1421.6230500736267 0.0 0.2899581546968847 
32 1.7186747562699534 -1.7186747562699534 0.0 0.0 0.5 5645.913731914208 81.37689987599286 0.2476095620450466 1564.5684315991712 0.0 0.28618090239952415 
33 1.5549038845384215 -1.5549038845384215 0.0 0.0 0.5 26166.584326921213 103.78068077124932 0.22632581186119155 1491.005088541463 0.0 0.28831003706443026 
34 1.0785033185472153 -1.0785033185472153 0.0 0.0 0.5 23538.978933216018 98.70708588635708 0.23406974529564373 1500.4601956118104 0.0 0.2886100859901072 
35 1.9616331513955905 -1.9616331513955905 0.0 0.0 0.5 35754.172186129246 110.59866608666415 0.22815506378640674 1434.692985769223 0.0 0.287767022242688 
36 2.5029384516750235 -2.5029384516750235 0.0 0.0 0.5 27975.217617164522 108.24637163355156 0.21695232428416364 1470.549244882954 0.0 0.2903202628134294 
37 2.331312046046167 -2.331312046046167 0.0 0.0 0.5 15472.0684566346 95.97463552613655 0.24076100282803228 1468.2652131875811 0.0 0.2873594529626606 
38 1.867412507352131 -1.867412507352131 0.0 0.0 0.5 58101.95143380361 111.58090620765267 0.21648952487866888 1373.0632256698273 0.0 0.2913893666033652 
39 2.2243638006745234 -2.2243638006745234 0.0 0.0 0.5 18431.255792197164 101.51932057559702 0.22492286730614736 1464.7144356296358 0.0 0.29081035594454413 
40 1.9031864448454734 -1.9031864448454734 0.0 0.0 0.5 26934.547460982503 95.20774573087563 0.21846223355022276 1547.484571934548 0.0 0.2875993984463521 
41 1.8738169623729768 -1.8738169623729768 0.0 0.0 0.5 30105.737683519113 123.77482302060334 0.22087085490962385 1395.408510060154 0.0 0.2937594067242212 
42 1.7746128715263194 -1.7746128715263194 0.0 0.0 0.5 15217.177227586984 80.73825620875458 0.23684424963268078 1479.240537600785 0.0 0.2887141266208538 
43 1.8206357771019255 -1.8206357771019255 0.0 0.0 0.5 19717.69857184437 103.4844375141829 0.2226644804425158 1367.9084901293127 0.0 0.29308275659701893 
44 2.677609304251414 -2.677609304251414 0.0 0.0 0.5 20515.766674751 64.53555455225444 0.2300341735368942 1534.2019793206111 0.0 0.28485196715833117 
45 2.4119869105640763 -2.4119869105640763 0.0 0.0 0.5 29946.92756167073 90.30075043533202 0.22177866276595753 1394.063293608058 0.0 0.29244379182059155 
46 1.6178399902246658 -1.6178399902246658 0.0 0.0 0.5 21802.294283827185 66.25742580082421 0.2319706092754673 1547.662474370327 0.0 0.28556668081782594 
47 1.340482809757142 -1.340482809757142 0.0 0.0 0.5 50664.55139133739 108.42040297371065 0.21204356706100083 1376.2746995239745 0.0 0.29235102515895645 
48 1.9817642920505358 -1.9817642920505358 0.0 0.0 0.5 4955.259738015742 89.02153703308906 0.24017226715891893 1535.4668002024457 0.0 0.286196600454662 
49 1.5904935725882616 -1.5904935725882616 0.0 0.0 0.5 42011.421399423285 137.97569431646957 0.22448832919085202 1331.5486367797803 0.0 0.294519494994732 
50 2.360868460896236 -2.360868460896236 0.0 0.0 0.5 35066.54907159468 78.5462980403455 0.215385822637918 1475.930102885343 0.0 0.2896142926927309 
51 1.8993629512885555 -1.8993629512885555 0.0 0.0 0.5 19684.840980851113 93.19518170030982 0.24080672804206332 1449.6011044876884 0.0 0.2881759292176526 
52 1.6775175476830084 -1.6775175476830084 0.0 0.0 0.5 16735.133411158997 110.01276682721713 0.22981281710231222 1388.003890581592 0.0 0.29360440167023766 
53 2.019412087591245 -2.019412087591245 0.0 0.0 0.5 29522.4446630098 118.62579197586994 0.23020779886516662 1278.4899814680903 0.0 0.2968745377521706 
54 1.7942599324825597 -1.7942599324825597 0.0 0.0 0.5 1670.9836555800011 87.43907179762286 0.23706138470882848 1546.6201778544576 0.0 0.28902224539346355 
55 1.9917318799677544 -1.9917318799677544 0.0 0.0 0.5 21302.21425071697 96.54267695256867 0.22120994659978524 1501.7969600368697 0.0 0.29053872748794246 
56 2.8217550027989353 -2.8217550027989353 0.0 0.0 0.5 11297.002303414756 76.3818427463757 0.23123355819042404 1501.546504365293 0.0 0.28851534245167393 
57 1.5307575620531937 -1.5307575620531937 0.0 0.0 0.5 9562.762222079733 91.84459011052002 0.23453428989688152 1551.9532948986493 0.0 0.2861941034326368 
58 1.7795301453300483 -1.7795301453300483 0.0 0.0 0.5 53570.244985057696 91.36435042612824 0.21044489047063622 1296.8168056133723 0.0 0.2950111319431458 
59 2.149137069604962 -2.149137069604962 0.0 0.0 0.5 4919.910366853035 70.46534858862987 0.23039640524415197 1546.7214954994672 0.0 0.2892208803293362 
60 2.0892878911834605 -2.0892878911834605 0.0 0.0 0.5 34291.963991141565 147.5108865802179 0.22277460615918995 1264.0934497202156 0.0 0.2991308715582806 
61 1.390686096738517 -1.390686096738517 0.0 0.0 0.5 47155.12294727965 117.681105093869 0.2100521989290609 1323.1878425372618 0.0 0.29516044034070416 
62 2.4006450288362493 -2.4006450288362493 0.0 0.0 0.5 24093.337114675625 65.29199555650251 0.2161418214354866 1574.3825486613384 0.0 0.28661866696243715 
63 2.0583256896660087 -2.0583256896660087 0.0 0.0 0.5 37437.081323215694 78.03514087897359 0.21785761864278963 1437.502540049247 0.0 0.28886708189166155 
64 2.0950677371814206 -2.0950677371814206 0.0 0.0 0.5 29542.786154172143 77.54051854293738 0.21248492396700774 1538.499070097193 0.0 0.28826998218247013 
65 1.661713362175237 -1.661713362175237 0.0 0.0 0.5 15812.381690502634 109.07603638908519 0.23880931650142131 1425.9082177315056 0.0 0.29028014915546557 
66 2.2336071546999623 -2.2336071546999623 0.0 0.0 0.5 19083.144008572734 75.5220149218401 0.23425991366514742 1497.1875782414063 0.0 0.28833069024216407 
67 1.4369839047497215 -1.4369839047497215 0.0 0.0 0.5 31920.688823377775 146.2161385246667 0.23169018506288103 1212.182196564096 0.0 0.2991795507976394 
68 2.830142064210187 -2.830142064210187 0.0 0.0 0.5 23708.898841515136 100.55052102311781 0.21947403662480697 1398.069524040956 0.0 0.2934902586258185 
69 2.339506037395027 -2.339506037395027 0.0 0.0 0.5 21962.61824439015 100.46466216475982 0.22862948737554178 1457.5131025775854 0.0 0.28938710912150767 
70 2.056514910259619 -2.056514910259619 0.0 0.0 0.5 10247.51603922539 97.27513927901269 0.22888540296659624 1495.3124690219972 0.0 0.29016767674184607 
71 1.5842851146715267 -1.5842851146715267 0.0 0.0 0.5 13790.497418031178 92.37282950836621 0.2361620764853627 1527.9641970339726 0.0 0.2874129143644057 
72 1.798513212059785 -1.798513212059785 0.0 0.0 0.5 43021.04180193707 100.84859370277186 0.2267845334985913 1393.2652533640999 0.0 0.2889479596862848 
73 2.6699113345569625 -2.6699113345569625 0.0 0.0 0.5 33993.3393787422 77.59876868653359 0.20947853712109593 1529.395668418432 0.0 0.28861416076286944 
74 1.7181880436847878 -1.7181880436847878 0.0 0.0 0.5 20815.52701888646 93.32875261367124 0.23019549773884654 1443.7519378173488 0.0 0.2901936298938907 
75 1.5942593176411786 -1.5942593176411786 0.0 0.0 0.5 29179.04157586913 125.32500458113014 0.22760904698213805 1328.9078563601731 0.0 0.2955116582759052 
76 1.6665312747216 -1.6665312747216 0.0 0.0 0.5 44964.23663271324 88.10501156358411 0.22246645940237178 1399.4240716594782 0.0 0.2895515140753043 
77 2.3776157183373012 -2.3776157183373012 0.0 0.0 0.5 36452.583122918906 92.6083016170631 0.220707505280744 1438.1192317855973 0.0 0.28958297286050666 
78 2.029972852847815 -2.029972852847815 0.0 0.0 0.5 33789.80495406 77.79458768389141 0.21483270407042768 1524.6585922944548 0.0 0.2865212457833205 
