idx chrg_Mg chrg_O p_MgMg_a p_MgMg_c p_MgMg_rho p_OO_a p_OO_c p_OO_rho p_MgO_a p_MgO_c p_MgO_rho 
69 2.3767212386394387 -2.3767212386394387 0.0 0.0 0.5 25113.664487514645 59.88591286642804 0.22508308266695132 1344.3806931781057 0.0 0.2930016831203942 
70 1.9976186825342521 -1.9976186825342521 0.0 0.0 0.5 11137.452400062326 75.94166666481111 0.22655791935195826 1259.0205000448307 0.0 0.2973058600157453 
71 1.9917458131631651 -1.9917458131631651 0.0 0.0 0.5 22272.834586668065 98.10414278873904 0.25482252555003265 1226.737051369571 0.0 0.2967213686876334 
72 2.1699364727296166 -2.1699364727296166 0.0 0.0 0.5 41754.65620622586 87.46986773529302 0.22514736619931627 1263.6262685014167 0.0 0.2940754219599933 
73 1.6653866997811535 -1.6653866997811535 0.0 0.0 0.5 4861.794871696226 73.91742656850978 0.20904910441088154 1364.340282888826 0.0 0.2971649307615515 
74 1.6770343180597949 -1.6770343180597949 0.0 0.0 0.5 18591.468143440485 95.3837195965078 0.23563357455757272 1373.116644342112 0.0 0.29486697856949395 
75 1.694547114825125 -1.694547114825125 0.0 0.0 0.5 28724.230502019822 89.66759203314321 0.24125337438594133 1242.5447021938453 0.0 0.29333077378510375 
76 1.7936450844095986 -1.7936450844095986 0.0 0.0 0.5 9762.716044711593 61.68606381832424 0.24723256006217867 1409.4096905668648 0.0 0.2895396726008635 
77 1.7883425576558911 -1.7883425576558911 0.0 0.0 0.5 10001.73011320482 75.50132570307386 0.23303962436768733 1420.2733978696858 0.0 0.28994479291685465 
78 1.8247444625226965 -1.8247444625226965 0.0 0.0 0.5 35521.54085071959 42.793721423416315 0.19719136457368328 1334.566617464562 0.0 0.29426032220537185 
79 1.7404789902076014 -1.7404789902076014 0.0 0.0 0.5 23750.637007348614 55.907583293194335 0.20765091223468007 1476.2946057545084 0.0 0.2899660267496062 
80 2.1886532121655766 -2.1886532121655766 0.0 0.0 0.5 13892.638373958045 83.03032447837302 0.24041167611230344 1344.7450573787537 0.0 0.29380721319103364 
81 1.9143169432083167 -1.9143169432083167 0.0 0.0 0.5 12882.92596394915 70.29742984115957 0.22170562351126563 1460.5059395997034 0.0 0.29223937482515244 
82 1.958520392848416 -1.958520392848416 0.0 0.0 0.5 27453.012830688127 54.61917229961202 0.17415796951391646 1440.8325804120525 0.0 0.2902035137333788 
83 1.6434164335626416 -1.6434164335626416 0.0 0.0 0.5 -601.5682179319228 77.1484609843187 0.2114048641779184 1389.8547489877499 0.0 0.29532380203069547 
84 2.0680282771650247 -2.0680282771650247 0.0 0.0 0.5 22812.642951415164 74.90663960935022 0.20669559433514803 1195.7282819304378 0.0 0.300511666464226 
85 1.8692663481607286 -1.8692663481607286 0.0 0.0 0.5 32444.874178503163 86.25404508160241 0.23953274809974817 1251.8987375552572 0.0 0.29370847814293416 
86 1.994234280708813 -1.994234280708813 0.0 0.0 0.5 3024.333728826206 75.22577813375413 0.22493159824891035 1345.1847517407505 0.0 0.2954413933328328 
87 2.227478508097846 -2.227478508097846 0.0 0.0 0.5 22579.985336732712 67.40282376882938 0.22282360036862167 1451.8845508366392 0.0 0.28700020599244896 
88 1.6905301951260316 -1.6905301951260316 0.0 0.0 0.5 49254.77187265041 79.4943034536513 0.1992481361159018 1271.394727612063 0.0 0.29686299409760986 
89 1.6407751903817065 -1.6407751903817065 0.0 0.0 0.5 30076.88066947745 51.1071647056955 0.17568990980620788 1321.0753148076758 0.0 0.29559115051762214 
90 2.07391003849938 -2.07391003849938 0.0 0.0 0.5 29197.848171101297 84.43358553491915 0.21122754315407247 1294.501806079356 0.0 0.2955741149168666 
91 1.707622617110911 -1.707622617110911 0.0 0.0 0.5 10410.057482489043 82.75544485731515 0.22734330296533117 1475.101670382786 0.0 0.29011361740842856 
92 1.8465267422550729 -1.8465267422550729 0.0 0.0 0.5 10614.739090612415 110.96852861689096 0.2754511330431188 1326.3819292836747 0.0 0.2948609269586399 
93 1.8194900434542418 -1.8194900434542418 0.0 0.0 0.5 1354.4965946883858 88.46396450886049 0.24997777094351126 1339.1777881041592 0.0 0.2955452881894382 
94 2.03308498300148 -2.03308498300148 0.0 0.0 0.5 1913.2976245651407 81.64583511978391 0.25310210548596024 1425.6274678299499 0.0 0.29118216372990174 
95 1.8971895954265663 -1.8971895954265663 0.0 0.0 0.5 19126.940699043837 100.31370087509958 0.2457630868642483 1344.0287724138211 0.0 0.2936394625373022 
96 2.0997516375001295 -2.0997516375001295 0.0 0.0 0.5 22845.104848724033 62.504739808286885 0.2382742659979346 1370.7444267597837 0.0 0.2917387628846854 
97 2.041520889014889 -2.041520889014889 0.0 0.0 0.5 19436.529512668392 42.59643627464519 0.24378391904630825 1502.2567109397414 0.0 0.2860283314289086 
98 2.186447129948664 -2.186447129948664 0.0 0.0 0.5 14275.039000383382 67.47683599816494 0.18230597172010626 1458.4209842338817 0.0 0.2908468709414555 
99 1.8054015322415033 -1.8054015322415033 0.0 0.0 0.5 10475.119528935744 87.12870107844515 0.20723593465092255 1235.8789800252202 0.0 0.3002615688479962 
100 1.6515280892129947 -1.6515280892129947 0.0 0.0 0.5 17480.16020457404 48.197459855268434 0.16394298186990336 1388.077036778669 0.0 0.29395753947395353 
101 2.006371781572633 -2.006371781572633 0.0 0.0 0.5 18094.484476919104 52.51484759507696 0.22943878088745048 1390.4674357116044 0.0 0.2879884663851069 
102 1.8309301488770586 -1.8309301488770586 0.0 0.0 0.5 35911.15331866493 80.28730851541644 0.22777235398310164 1280.6553554501243 0.0 0.2904943870979896 
103 1.9057611194904693 -1.9057611194904693 0.0 0.0 0.5 29718.122053955583 93.87748419810731 0.2239992152138394 1251.2275843384389 0.0 0.2980671076259547 
104 2.3060389268214676 -2.3060389268214676 0.0 0.0 0.5 22118.492107549777 54.72579228772443 0.21790587693022176 1445.0061464475793 0.0 0.28884195979835364 
105 2.0742886143760733 -2.0742886143760733 0.0 0.0 0.5 15271.76621779094 101.03853342968655 0.2560408729346651 1252.6692058178292 0.0 0.2976034347346348 
106 1.6845018811821022 -1.6845018811821022 0.0 0.0 0.5 4103.599072266264 69.8540904957797 0.2135597886405521 1446.4555296197402 0.0 0.2931858272439658 
107 2.222333044352164 -2.222333044352164 0.0 0.0 0.5 25232.483562338406 94.86445089002275 0.22002484800783267 1351.3532569575073 0.0 0.2920463152830382 
108 1.6661819000738456 -1.6661819000738456 0.0 0.0 0.5 10183.197461127536 48.59516297944432 0.19911091399272987 1304.753421122161 0.0 0.2978469491804546 
109 1.7579666267521095 -1.7579666267521095 0.0 0.0 0.5 13642.635939054866 54.7861012563407 0.1972486686293787 1374.1073020493 0.0 0.2949909151174496 
110 1.6061630929221267 -1.6061630929221267 0.0 0.0 0.5 2173.475895494472 92.66372215148758 0.23833821604430155 1381.936872461606 0.0 0.2916574558826263 
