chrg_Mg chrg_O p_MgMg_a p_MgMg_c p_MgMg_rho p_OO_a p_OO_c p_OO_rho p_MgO_a p_MgO_c p_MgO_rho 
0 2.2530809489962973 -2.2530809489962973 0 0 0.5 23784.890639814224 61.03575241859426 0.2810399606409054 1231.124716044162 3.5949823473950215 0.2941186636007297 
1 2.2090144623534997 -2.2090144623534997 0 0 0.5 21592.378210391827 54.2825791494422 0.2424736711468848 1165.7392464957882 1.0946514937656202 0.2998868887488287 
2 1.963648380541954 -1.963648380541954 0 0 0.5 1983.8161435580241 33.248735653888666 0.16215152210219314 1354.130079285721 15.271389416961505 0.30173536396510353 
3 2.008772461208741 -2.008772461208741 0 0 0.5 15933.075753979407 35.78513635701218 0.23293194260278416 1223.871176313911 10.804376528434116 0.3029745679760409 
4 1.9720259787877563 -1.9720259787877563 0 0 0.5 22292.437933960227 35.21094645663545 0.19752158694022115 1334.129650006826 7.0110854758204475 0.29391768743757685 
5 1.350380351216529 -1.350380351216529 0 0 0.5 8129.364002580505 43.18624320345854 0.14917036862186514 1130.9227610955134 2.9958138371690186 0.3061070872787942 
6 2.0941362713398695 -2.0941362713398695 0 0 0.5 18316.465096354434 22.98291262578994 0.1911572359162883 1237.7794600034147 11.297127697473405 0.2991138892487557 
7 1.5442344286906533 -1.5442344286906533 0 0 0.5 3045.6415602113943 32.0654921527889 0.2356116093563027 1219.3935059232176 2.97851387636159 0.298253215820422 
8 2.0436341533701823 -2.0436341533701823 0 0 0.5 5123.92975188701 38.01234952575102 0.18299610566707497 1273.4461508612965 18.154005578949246 0.3042496781353446 
9 2.0675629579491863 -2.0675629579491863 0 0 0.5 20473.57350820457 75.57480714421538 0.16072836170285007 1219.8501437955565 -1.6835351637913756 0.2997730047155012 
10 1.8843423240454167 -1.8843423240454167 0 0 0.5 12710.827751264726 70.61425818854093 0.2719737214870978 1043.9776087962548 14.086694115350848 0.3094408846630783 
11 2.306201944187377 -2.306201944187377 0 0 0.5 4666.549773841465 38.99875479074591 0.233118454083715 1332.1409343684854 21.40035884067077 0.30162807414399845 
12 1.9007516750434024 -1.9007516750434024 0 0 0.5 -771.0705182569433 69.27741462790094 0.21574689401583041 1170.2857575612343 15.297684832004107 0.3104492693865132 
13 1.7768230953008108 -1.7768230953008108 0 0 0.5 1636.7772211272816 73.56870980131242 0.31429024563923863 1082.6550436038592 -2.5770164381368117 0.3048749866123013 
14 1.8804305759472155 -1.8804305759472155 0 0 0.5 8594.752496334077 84.56356701628313 0.16075099536745263 1158.9446106971352 -1.6435115272645509 0.30534166401521495 
15 1.859602419940313 -1.859602419940313 0 0 0.5 19476.886751679773 47.38252898151347 0.22586663705193386 1116.6288995218802 12.393526815277152 0.3062579756249886 
16 1.712552209471459 -1.712552209471459 0 0 0.5 16993.535924110038 49.19527921286425 0.210654200563091 1235.5620104943473 15.632132569968604 0.30280340526674526 
17 2.236168516634166 -2.236168516634166 0 0 0.5 17093.090311367952 43.59538128172162 0.18758272810868537 1115.1627479416813 -4.506585446706625 0.3024651344031087 
18 2.050407101990818 -2.050407101990818 0 0 0.5 20637.309828265625 78.42366767784247 0.27157687707339867 1051.5194807520954 8.44980022061514 0.305411943992726 
19 1.6494581846244347 -1.6494581846244347 0 0 0.5 557.0119682219884 47.162561927194396 0.20690862226569887 1264.806989633817 5.678235520220133 0.30164493029768036 
20 1.35514003069007 -1.35514003069007 0 0 0.5 15820.784868385483 50.62505389825593 0.1826139670614813 1097.7203151202038 -0.35139818157590175 0.303909986303716 
