sim_id, chrg_Mg, chrg_O, MgMg_A, MgMg_rho, MgMg_C, MgO_A, MgO_rho, MgO_C, OO_A, OO_rho, OO_C, MgO_NaCl.a0, MgO_NaCl.c11, MgO_NaCl.c12, MgO_NaCl.c44, MgO_NaCl.B, MgO_NaCl.G, MgO_NaCl.fr_a, MgO_NaCl.fr_c, MgO_NaCl.sch, MgO_NaCl.001s, MgO_NaCl.a0.err, MgO_NaCl.c11.err, MgO_NaCl.c12.err, MgO_NaCl.c44.err, MgO_NaCl.B.err, MgO_NaCl.G.err, MgO_NaCl.fr_a.err, MgO_NaCl.fr_c.err, MgO_NaCl.sch.err, MgO_NaCl.001s.err
sim_id, param, param, param, param, param, param, param, param, param, param, param, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, err, err, err, err, err, err, err, err, err, err
0, 1.9281000465903566, -1.9281000465903566, 0.0, 0.5, 0.0, 1161.7874850053452, 0.2967872280612278, 0.0, 5473.215021411018, 0.1697719311682626, 50.315706025752085, 4.0948621887897, 399.293025540605, 165.130119024796, 160.665777491648, 243.18442119673236, 117.08145325790451, 10.723378617367416, 11.398304047867896, 7.148211094081489, 0.08687193856488022, -0.15113781121030012, 122.29302554060502, 73.46011902479599, 16.655777491647996, 89.73442119673237, 24.421453257904517, -0.2546213826325836, 2.412304047867895, 2.081211094081489, 0.030921938564880222
1, 2.393984650740788, -2.393984650740788, 0.0, 0.5, 0.0, 817.908397858714, 0.32195473510660294, 0.0, 12465.072582581688, 0.2060076050671976, 72.09834213111296, 3.80141472759024, 478.309874258139, 368.302288126221, 351.310831638594, 404.971483503527, 55.003793065959, 12.97501005655522, 13.154636056595336, 7.475819707613482, 0.12826585914683075, -0.44458527240976053, 201.30987425813902, 276.632288126221, 207.300831638594, 251.521483503527, -37.656206934040995, 1.9970100565552205, 4.168636056595336, 2.408819707613482, 0.07231585914683075
2, 2.058987258470339, -2.058987258470339, 0.0, 0.5, 0.0, 1174.343255755653, 0.3221870877923699, 0.0, 20360.026615978317, 0.3548539686341552, 56.45240179211761, 5.42482798065324, 93.8848023228285, 167.717225098439, 167.619298585005, 143.10641750656885, -36.91621138780525, -155.6652980658182, -124.41288863957789, -129.7575426376943, 0.021816803057988336, 1.1788279806532396, -183.1151976771715, 76.047225098439, 23.609298585005007, -10.343582493431143, -129.57621138780524, -166.64329806581821, -133.39888863957788, -134.82454263769432, -0.03413319694201167
3, 2.3103729589445487, -2.3103729589445487, 0.0, 0.5, 0.0, 1002.9293673203156, 0.29361235610691244, 0.0, 23261.941255634887, 0.31099606700716703, 74.74513244469455, 4.60072155890163, 197.794006285713, 413.135096468394, 412.265990593342, 341.354733074167, -107.6705450913405, -297.1367474143208, -309.53561023827024, -299.1053735784553, -1.7798150460865492, 0.3547215589016295, -79.20599371428699, 321.465096468394, 268.255990593342, 187.90473307416698, -200.3305450913405, -308.1147474143208, -318.5216102382702, -304.17237357845534, -1.8357650460865491
4, 2.027653337301639, -2.027653337301639, 0.0, 0.5, 0.0, 842.5348884859546, 0.2914956010120295, 0.0, 7706.432324167637, 0.19536012212346837, 61.31323354820767, 3.61439801730976, 535.391044428284, 270.980077559007, 263.240319743012, 359.11706651543267, 132.2054834346385, 11.377313088901246, 12.500237506371377, 7.725630383049975, 0.13887799510137358, -0.6316019826902406, 258.391044428284, 179.31007755900697, 119.23031974301199, 205.66706651543268, 39.5454834346385, 0.3993130889012466, 3.5142375063713764, 2.6586303830499745, 0.08292799510137358
5, 2.4908233594937386, -2.4908233594937386, 0.0, 0.5, 0.0, 934.9559650674005, 0.3002111133224592, 0.0, 24320.72073872408, 0.16736356432695, 55.45703678544636, 3.51101032983904, 706.930884849175, 521.36415896284, 518.331456687886, 583.2197342582849, 92.7833629431675, 13.988944590915708, 15.35988775453552, 8.67428507639579, 0.173938637148122, -0.7349896701609606, 429.93088484917496, 429.69415896283994, 374.321456687886, 429.7697342582849, 0.12336294316750696, 3.0109445909157078, 6.37388775453552, 3.60728507639579, 0.117988637148122
6, 1.779805653786347, -1.779805653786347, 0.0, 0.5, 0.0, 1007.4614468579047, 0.29866016118716754, 0.0, 11399.743309598414, 0.10225159500416976, 57.19378171614767, 4.12243565425368, 328.397489457151, 117.017088497038, 116.199473387904, 187.477222150409, 105.69020048005649, 9.01214093549288, 9.946526640423144, 6.306624625775839, 0.07653495539323067, -0.12356434574632047, 51.39748945715098, 25.347088497038, -27.810526612095984, 34.02722215040902, 13.030200480056493, -1.9658590645071197, 0.9605266404231436, 1.2396246257758392, 0.020584955393230672
7, 1.7929327997160982, -1.7929327997160982, 0.0, 0.5, 0.0, 1053.5445492357985, 0.29022902261588185, 0.0, 21408.29137398408, 0.38799632702767317, 41.075655077002, 6.00301209743595, 31.931911877086, 105.117483102681, 104.944005152505, 80.72229269414935, -36.5927856127975, -345.6706632903497, -344.1774667068298, -342.5325022279062, -0.9952594874893479, 1.7570120974359495, -245.068088122914, 13.447483102681005, -39.06599484749499, -72.72770730585064, -129.25278561279748, -356.6486632903497, -353.1634667068298, -347.5995022279062, -1.0512094874893478
8, 1.5205992990929222, -1.5205992990929222, 0.0, 0.5, 0.0, 1190.8690593427564, 0.2928306748075354, 0.0, 3287.5828625463946, 0.36016328148328436, 29.951373312861207, 4.96363644864324, 97.1914979914445, 100.027372182913, 101.075199196128, 99.08208078575683, -1.4179370957342456, 6.127201612076988, -11.62184661321271, -9.518398188322863, 0.02057888574327398, 0.7176364486432396, -179.80850200855548, 8.357372182912997, -42.934800803871994, -54.36791921424316, -94.07793709573424, -4.850798387923012, -20.60784661321271, -14.585398188322863, -0.035371114256726024
