sim_id, chrg_Mg, chrg_O, MgMg_A, MgMg_rho, MgMg_C, MgO_A, MgO_rho, MgO_C, OO_A, OO_rho, OO_C, MgO_NaCl.a0, MgO_NaCl.c11, MgO_NaCl.c12, MgO_NaCl.c44, MgO_NaCl.B, MgO_NaCl.G, MgO_NaCl.fr_a, MgO_NaCl.fr_c, MgO_NaCl.sch, MgO_NaCl.001s, MgO_NaCl.a0.err, MgO_NaCl.c11.err, MgO_NaCl.c12.err, MgO_NaCl.c44.err, MgO_NaCl.B.err, MgO_NaCl.G.err, MgO_NaCl.fr_a.err, MgO_NaCl.fr_c.err, MgO_NaCl.sch.err, MgO_NaCl.001s.err
sim_id, param, param, param, param, param, param, param, param, param, param, param, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, qoi, err, err, err, err, err, err, err, err, err, err
0.0, 1.92810004659, -1.92810004659, 0.0, 0.5, 0.0, 1161.78748501, 0.296787228061, 0.0, 5473.21502141, 0.169771931168, 50.3157060258, 4.09486218879, 399.293025541, 165.130119025, 160.665777492, 243.184421197, 117.081453258, 10.7233786174, 11.3983040479, 7.14821109408, 0.0868719385649, -0.15113781121, 122.293025541, 73.4601190248, 16.6557774916, 89.7344211967, 24.4214532579, -0.254621382633, 2.41230404787, 2.08121109408, 0.0309219385649
2.0, 2.05898725847, -2.05898725847, 0.0, 0.5, 0.0, 1174.34325576, 0.322187087792, 0.0, 20360.026616, 0.354853968634, 56.4524017921, 5.42482798065, 93.8848023228, 167.717225098, 167.619298585, 143.106417507, -36.9162113878, -155.665298066, -124.41288864, -129.757542638, 0.021816803058, 1.17882798065, -183.115197677, 76.0472250984, 23.609298585, -10.3435824934, -129.576211388, -166.643298066, -133.39888864, -134.824542638, -0.034133196942
3.0, 2.31037295894, -2.31037295894, 0.0, 0.5, 0.0, 1002.92936732, 0.293612356107, 0.0, 23261.9412556, 0.310996067007, 74.7451324447, 4.6007215589, 197.794006286, 413.135096468, 412.265990593, 341.354733074, -107.670545091, -297.136747414, -309.535610238, -299.105373578, -1.77981504609, 0.354721558902, -79.2059937143, 321.465096468, 268.255990593, 187.904733074, -200.330545091, -308.114747414, -318.521610238, -304.172373578, -1.83576504609
5.0, 2.49082335949, -2.49082335949, 0.0, 0.5, 0.0, 934.955965067, 0.300211113322, 0.0, 24320.7207387, 0.167363564327, 55.4570367854, 3.51101032984, 706.930884849, 521.364158963, 518.331456688, 583.219734258, 92.7833629432, 13.9889445909, 15.3598877545, 8.6742850764, 0.173938637148, -0.734989670161, 429.930884849, 429.694158963, 374.321456688, 429.769734258, 0.123362943168, 3.01094459092, 6.37388775454, 3.6072850764, 0.117988637148
6.0, 1.77980565379, -1.77980565379, 0.0, 0.5, 0.0, 1007.46144686, 0.298660161187, 0.0, 11399.7433096, 0.102251595004, 57.1937817161, 4.12243565425, 328.397489457, 117.017088497, 116.199473388, 187.47722215, 105.69020048, 9.01214093549, 9.94652664042, 6.30662462578, 0.0765349553932, -0.123564345746, 51.3974894572, 25.347088497, -27.8105266121, 34.0272221504, 13.0302004801, -1.96585906451, 0.960526640423, 1.23962462578, 0.0205849553932
7.0, 1.79293279972, -1.79293279972, 0.0, 0.5, 0.0, 1053.54454924, 0.290229022616, 0.0, 21408.291374, 0.387996327028, 41.075655077, 6.00301209744, 31.9319118771, 105.117483103, 104.944005153, 80.7222926941, -36.5927856128, -345.67066329, -344.177466707, -342.532502228, -0.995259487489, 1.75701209744, -245.068088123, 13.4474831027, -39.0659948475, -72.7277073059, -129.252785613, -356.64866329, -353.163466707, -347.599502228, -1.05120948749
8.0, 1.52059929909, -1.52059929909, 0.0, 0.5, 0.0, 1190.86905934, 0.292830674808, 0.0, 3287.58286255, 0.360163281483, 29.9513733129, 4.96363644864, 97.1914979914, 100.027372183, 101.075199196, 99.0820807858, -1.41793709573, 6.12720161208, -11.6218466132, -9.51839818832, 0.0205788857433, 0.717636448643, -179.808502009, 8.35737218291, -42.9348008039, -54.3679192142, -94.0779370957, -4.85079838792, -20.6078466132, -14.5853981883, -0.0353711142567
9.0, 2.24473111098, -2.24473111098, 0.0, 0.5, 0.0, 1053.29934866, 0.329382060178, 0.0, 6829.78750113, 0.229094123722, 42.8610306578, 4.32020163154, 365.828369254, 206.729103051, 207.11458432, 259.762191785, 79.5496331018, 12.8023952339, 12.4625039312, 7.30268090492, 0.0815440824093, 0.0742016315362, 88.8283692544, 115.059103051, 63.1045843198, 106.312191785, -13.1103668982, 1.82439523393, 3.47650393123, 2.23568090492, 0.0255940824093
10.0, 1.59700691699, -1.59700691699, 0.0, 0.5, 0.0, 1120.35064137, 0.310746146228, 0.0, 11789.892517, 0.334866608309, 68.6581566386, 5.21641412467, 90.782506149, 98.999158524, 98.1963106999, 96.260274399, -4.10832618751, -29.079765391, -1.56638623242, -11.1571943042, 0.0232416658776, 0.970414124673, -186.217493851, 7.32915852405, -45.8136893001, -57.189725601, -96.7683261875, -40.057765391, -10.5523862324, -16.2241943042, -0.0327083341224
