idx chrg_Mg chrg_O p_MgMg_a p_MgMg_c p_MgMg_rho p_OO_a p_OO_c p_OO_rho p_MgO_a p_MgO_c p_MgO_rho 
51 2.105996202355081 -2.105996202355081 0.0 0.0 0.5 17407.36441882292 58.29762441918072 0.15411482259761133 884.4008771863915 0.0 0.3136101920277672 
52 1.8796315933749133 -1.8796315933749133 0.0 0.0 0.5 5982.760223490777 57.357796377255774 0.17967063122636204 1082.8889244481531 0.0 0.31216461939627344 
53 1.9370451144113057 -1.9370451144113057 0.0 0.0 0.5 4810.246084039458 53.2241883121268 0.17944765163413764 1068.4725258536116 0.0 0.31556230277232716 
54 2.1311093030598167 -2.1311093030598167 0.0 0.0 0.5 5535.201283075037 53.18718074076346 0.2771452507765465 911.1697389120418 0.0 0.32417707700191156 
55 1.9393810937907063 -1.9393810937907063 0.0 0.0 0.5 15878.774149209672 35.41670431627775 0.16950915502264952 847.5033918585801 0.0 0.32514240969516023 
56 1.971636358910298 -1.971636358910298 0.0 0.0 0.5 10176.482601381294 67.41518719642154 0.16169548579231452 1358.0770581991458 0.0 0.3043111668243064 
57 2.208685010685719 -2.208685010685719 0.0 0.0 0.5 11313.358831577614 69.8593781791948 0.06059245237038674 1132.2261128258776 0.0 0.31781639027138714 
58 2.1251861005243855 -2.1251861005243855 0.0 0.0 0.5 2716.366060422854 65.64945685165809 0.19432593975563603 838.7934106662773 0.0 0.32178662124109136 
59 1.5734600048874645 -1.5734600048874645 0.0 0.0 0.5 10173.748211583332 60.172289371515745 0.14055517054252833 1140.6422787650165 0.0 0.2968308179239938 
60 1.7090906241836306 -1.7090906241836306 0.0 0.0 0.5 7067.389029540529 36.97248184442513 0.218214220438588 772.3900368690645 0.0 0.32735043890966353 
61 2.1811142711881755 -2.1811142711881755 0.0 0.0 0.5 10243.84821291667 61.23510028711678 0.24303339281756475 1221.9776441689437 0.0 0.3020315343543761 
62 1.9169294223987416 -1.9169294223987416 0.0 0.0 0.5 1828.395211715414 66.91474516022525 0.2547461903223307 938.1140243264775 0.0 0.31486724117304404 
63 1.7757983314734527 -1.7757983314734527 0.0 0.0 0.5 -3489.5854890749165 47.833727570502084 0.23557215428528566 885.3295814426606 0.0 0.3232002351833747 
64 2.3141539747806195 -2.3141539747806195 0.0 0.0 0.5 2474.7938656958195 62.958836844367426 0.2378566542673773 1069.14348683987 0.0 0.3121946178366229 
65 1.7561860573504495 -1.7561860573504495 0.0 0.0 0.5 28456.789257277487 39.85042795967457 0.10620106856508624 1250.1328701883872 0.0 0.2967263381286407 
66 1.8374699912187702 -1.8374699912187702 0.0 0.0 0.5 17671.020639100432 45.75325357933624 0.20153306412437064 1080.8528046490037 0.0 0.31095440417995157 
67 2.034844307607836 -2.034844307607836 0.0 0.0 0.5 -1131.8330037737996 83.30456436987507 0.16668579158086033 1175.5470392883885 0.0 0.30222050608999573 
68 2.101588435088429 -2.101588435088429 0.0 0.0 0.5 18254.592396369735 59.134384524706064 0.10200263995071755 1234.1190518760277 0.0 0.3072401367797614 
69 1.6073158755517611 -1.6073158755517611 0.0 0.0 0.5 24088.28442307929 57.11500409239924 0.07064595100809823 1278.2891485928312 0.0 0.29339055344450465 
70 1.8557421636630487 -1.8557421636630487 0.0 0.0 0.5 9129.128471700174 60.94252013577437 0.19302810712652335 1163.5150958519296 0.0 0.3091292644339127 
71 1.8370209237119934 -1.8370209237119934 0.0 0.0 0.5 623.0687960643427 85.8456613465769 0.16001719449966895 1178.9233321586523 0.0 0.30194155015150836 
72 1.7253895016676348 -1.7253895016676348 0.0 0.0 0.5 13788.955164807043 39.46046601828317 0.19688867270018062 1101.2342618303674 0.0 0.3109717940601077 
73 1.927788729520299 -1.927788729520299 0.0 0.0 0.5 -510.50064529904466 44.504811938327336 0.17723826401701276 896.3350661953014 0.0 0.3276592017749286 
74 1.6845320318364183 -1.6845320318364183 0.0 0.0 0.5 4629.270103292244 77.34725976102912 0.2488209194151756 995.083091322864 0.0 0.2932449650985271 
75 1.91085273810679 -1.91085273810679 0.0 0.0 0.5 13087.580461287584 59.85674827207793 0.19878774571884228 973.0790040076995 0.0 0.2989970363970576 
76 1.7750132096903428 -1.7750132096903428 0.0 0.0 0.5 17931.27974099964 42.40594665616514 0.21364659807593214 916.7460149877605 0.0 0.3124482446036768 
77 1.4472452833775191 -1.4472452833775191 0.0 0.0 0.5 25761.947206986002 25.38949997199414 0.12542136458127462 1121.1346182745517 0.0 0.3088039618854337 
78 1.8991159708316063 -1.8991159708316063 0.0 0.0 0.5 5990.928895679754 65.56381098259256 0.19729244336960666 1180.1432306090073 0.0 0.30562432667229944 
79 1.9544030828022931 -1.9544030828022931 0.0 0.0 0.5 15964.08867935582 55.66855811169678 0.29188717781701884 822.5360398851133 0.0 0.3095502089296607 
80 1.973883752125177 -1.973883752125177 0.0 0.0 0.5 16544.585013248558 56.85625740433702 0.21930713658086984 1190.825087372135 0.0 0.3027451281193428 
81 1.4080880395672837 -1.4080880395672837 0.0 0.0 0.5 14069.785166474407 33.313431013837906 0.18824243317791006 928.6041427786155 0.0 0.30733430407609164 
82 1.911757494169101 -1.911757494169101 0.0 0.0 0.5 3707.207614331403 46.76352247155969 0.249217857793575 1101.6910581252603 0.0 0.32078649280292076 
83 2.253915656110103 -2.253915656110103 0.0 0.0 0.5 7025.097182082364 67.8303342101804 0.17166414254565676 1008.3819076535344 0.0 0.31387985595971873 
84 2.0676019919206463 -2.0676019919206463 0.0 0.0 0.5 17208.729003730965 59.10080400674169 0.13855660079311213 1312.3731166523785 0.0 0.30130190622056213 
85 1.9719664553364267 -1.9719664553364267 0.0 0.0 0.5 12264.953160870637 55.27612233484524 0.21520877481001088 1257.9333012865136 0.0 0.3057079066334953 
86 2.063124963199727 -2.063124963199727 0.0 0.0 0.5 11623.573951889157 73.11497938919038 0.1747277048759405 1091.0992452714313 0.0 0.30463868927109555 
87 1.4548795250135784 -1.4548795250135784 0.0 0.0 0.5 21064.22831388027 34.72177489535981 0.19216142644037107 1075.843804309347 0.0 0.3050476049947535 
88 1.769782830382191 -1.769782830382191 0.0 0.0 0.5 13060.313202579538 68.67532071530155 0.1545680857857158 1158.7341995900663 0.0 0.30124278947464805 
89 1.6698694821491287 -1.6698694821491287 0.0 0.0 0.5 -1095.3613363347458 71.81989226660086 0.2771219342348331 975.5824812995343 0.0 0.3002260000025638 
90 1.6868943801951928 -1.6868943801951928 0.0 0.0 0.5 12458.896116784976 47.42419847189085 0.2831056498928173 1055.14977503704 0.0 0.30487264078015625 
91 1.7715472628977527 -1.7715472628977527 0.0 0.0 0.5 4510.024795325804 66.08016705439125 0.25169555519804565 1042.7499698906167 0.0 0.297919523419028 
92 1.9077720223734318 -1.9077720223734318 0.0 0.0 0.5 1135.9935534628576 47.3467787905645 0.17899421380293168 972.7282645016212 0.0 0.32083532919209096 
93 2.100025298883015 -2.100025298883015 0.0 0.0 0.5 4363.640586447041 69.33979207681153 0.1767696282675506 1040.0523589605518 0.0 0.3146573475564766 
94 2.0247586907872894 -2.0247586907872894 0.0 0.0 0.5 16290.268474680197 60.25099959832168 0.18030109278597797 1065.3187311199986 0.0 0.3061839185726604 
95 1.8645719829887375 -1.8645719829887375 0.0 0.0 0.5 18773.357973421706 55.60502510670404 0.1286856074497352 1264.7096311765022 0.0 0.3033318967184478 
96 1.664308809599956 -1.664308809599956 0.0 0.0 0.5 -5537.366946701175 38.23387921313808 0.2267474460310417 882.9266342845492 0.0 0.3215630057805413 
97 1.9341036082587253 -1.9341036082587253 0.0 0.0 0.5 15074.001158011086 67.13869009014343 0.15558273594133054 1206.2388463939667 0.0 0.2962868927117084 
98 2.298384788141761 -2.298384788141761 0.0 0.0 0.5 6493.900935501344 68.99751522966893 0.22167324347804923 1001.1054663558641 0.0 0.3198278412675946 
99 1.9887428428467775 -1.9887428428467775 0.0 0.0 0.5 3866.85042311517 51.76436840775848 0.15793260516303517 941.6697143252841 0.0 0.3179716144302453 
100 2.073594859936626 -2.073594859936626 0.0 0.0 0.5 12696.329944017854 57.44204443652954 0.1708657521869385 1124.3294483142029 0.0 0.31610908035772906 
101 1.8146506556853905 -1.8146506556853905 0.0 0.0 0.5 -3126.527598301247 69.38616412162109 0.3419248605132174 1036.95918083442 0.0 0.3007933487435421 
102 1.993693651014422 -1.993693651014422 0.0 0.0 0.5 9213.270650496972 42.581616416191935 0.15252115083524154 1099.909241555642 0.0 0.3153882887555553 
103 1.512921418836273 -1.512921418836273 0.0 0.0 0.5 16095.593009284159 32.840060087614305 0.2892818939797296 853.0199409764043 0.0 0.3111937733159291 
104 1.7532516403766527 -1.7532516403766527 0.0 0.0 0.5 8909.354384953935 47.82133231929942 0.19950819376511236 1147.1649621786164 0.0 0.31435287449273097 
105 1.6214498762216285 -1.6214498762216285 0.0 0.0 0.5 13014.45519759641 58.90727263997314 0.3079668464463583 1015.0102447080517 0.0 0.2915114889114961 
106 1.7698415210722234 -1.7698415210722234 0.0 0.0 0.5 5621.9458586305645 67.20074158777373 0.20178256519382412 1229.9837268491046 0.0 0.30399545768042757 
107 2.1118612984033365 -2.1118612984033365 0.0 0.0 0.5 -3718.731974304681 85.91786846735585 0.2011156371502457 991.4465795808866 0.0 0.3088002789674028 
108 1.8168208633394678 -1.8168208633394678 0.0 0.0 0.5 16064.744465489202 42.38122393357677 0.24286715628920622 1255.3572110586495 0.0 0.30257947736096275 
109 1.6473918244510102 -1.6473918244510102 0.0 0.0 0.5 24435.08167131874 42.746559988047316 0.2030480147414478 1214.1057242985075 0.0 0.2943397963935402 
110 1.5544794071925077 -1.5544794071925077 0.0 0.0 0.5 24354.99999959119 32.78879330887793 0.18632228473074172 938.1912370299826 0.0 0.3050205354911167 
111 2.0036467283675856 -2.0036467283675856 0.0 0.0 0.5 12580.140687666719 60.204827564131975 0.11296307697156448 1174.2572146166722 0.0 0.31319884235385764 
112 1.5317995573489314 -1.5317995573489314 0.0 0.0 0.5 22857.590784832882 19.25848971171228 0.14980691482331424 1059.575927973101 0.0 0.31427268295923055 
113 2.0219423236847134 -2.0219423236847134 0.0 0.0 0.5 3797.5185819635726 61.68003389030189 0.15320403534708432 1015.6155693529124 0.0 0.31204749074561355 
114 2.0938338744020317 -2.0938338744020317 0.0 0.0 0.5 -2595.8922816396503 53.82771508261785 0.2713262364333169 955.6460534405422 0.0 0.3186209721036358 
115 1.9533513055773866 -1.9533513055773866 0.0 0.0 0.5 8815.208912014203 63.60397405253752 0.10462196683037653 1182.024959965685 0.0 0.3165782996398468 
116 2.268350611102052 -2.268350611102052 0.0 0.0 0.5 6557.427863390165 72.37269641928326 0.13338066929085318 964.9395090348111 0.0 0.3143113933323766 
117 2.055793779604975 -2.055793779604975 0.0 0.0 0.5 1651.6112741976249 73.9141769472644 0.1883809080570087 1059.2762705873397 0.0 0.30744406118949624 
118 2.3478855083437296 -2.3478855083437296 0.0 0.0 0.5 1196.8559562798355 85.4572601016026 0.1258430985214823 1156.6620751038613 0.0 0.3130346855398245 
119 1.3496121318570788 -1.3496121318570788 0.0 0.0 0.5 19277.252115615414 28.06453949134358 0.1787479184008043 1052.2291633969016 0.0 0.3052388239091746 
120 2.010418377835624 -2.010418377835624 0.0 0.0 0.5 14411.73855887352 49.25301967050744 0.21966959017688556 1118.9653751257847 0.0 0.3132715514814621 
121 1.841103186192467 -1.841103186192467 0.0 0.0 0.5 6564.140553241776 34.77171431564609 0.1523281974922403 1003.9557152509562 0.0 0.3230579250026953 
122 2.1060393128514585 -2.1060393128514585 0.0 0.0 0.5 4955.984161456012 75.61467588337352 0.18881108563978222 1222.7228440602082 0.0 0.29780473346828745 
